mu,Results/distance_phi_list
-1.5,0.7797171523977988
-1.4375,0.7758830151678898
-1.375,0.771543847854876
-1.3125,0.7633037511792066
-1.25,0.7155113563767523
-1.1875,0.6745464305768829
-1.125,0.6419000988679298
-1.0625,0.6126275349315808
-1.0,0.5852520377074294
-0.9375,0.5587907260509173
-0.875,0.532507435815354
-0.8125,0.506021442822998
-0.75,0.4787937564554783
-0.6875,0.45030334674991046
-0.625,0.41952081102973326
-0.5625,0.38443935804330304
-0.5,0.33995914751746786
-0.4375,0.2832674958893623
-0.375,0.2298753455026385
-0.3125,0.2097174330096232
-0.25,0.25035433893723547
-0.1875,0.3522805748454399
-0.125,0.6099376537713893
-0.0625,0.8638125179729205
0.0,1.0270299454780687
0.0625,1.144721486752983
0.125,1.1983009583807753
0.1875,1.1990213714808566
0.25,1.1971517774423377
0.3125,1.1952825443705002
0.375,1.1934937806443762
0.4375,1.1917829948654506
0.5,1.1901441761729978
0.5625,1.1885717353272456
0.625,1.1870606889728248
0.6875,1.185606595268926
0.75,1.18420548015053
0.8125,1.182853773650418
0.875,1.1815482564389872
0.9375,1.180286014931619
1.0,1.179064403407625
